starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
63.48,62.5,63.23,72.51,67.35,9.28,33.6,31.77,18.88,1
67.14,64.94,65.19,68.36,62.09,3.17,17.6,5.88,-3.49,1
64.45,60.55,61.52,68.36,64.05,6.84,30.4,18.26,7.52,1
58.84,49.8,58.84,65.92,61.09,7.08,41.6,14.59,1.8,1
66.89,57.13,58.35,72.51,66.47,14.16,28.8,21.83,9.22,1
60.3,102.29,60.3,104.49,67.46,44.19,46.4,22.78,7.97,1
64.7,54.93,54.93,67.87,63.37,12.94,35.2,18.49,7.18,1
65.43,66.16,65.43,69.58,65.7,4.15,28.8,8.64,-5.88,1
65.19,66.89,65.19,69.58,67.4,4.39,27.2,5.93,-8.67,1
65.92,66.16,65.92,69.82,67.31,3.91,24,4.9,-8.2,1
65.92,68.12,65.92,70.07,67.8,4.15,27.2,4.75,-10.18,1
65.43,67.38,65.43,70.31,65.76,4.88,25.6,8.09,-4.75,1
66.41,67.38,66.41,70.31,67.91,3.91,27.2,5.88,-8.25,1
67.14,70.07,67.14,72.75,68.64,5.62,44.8,10.75,-2.46,1
67.87,67.63,67.87,72.51,68.47,4.64,32,10.1,-4.54,1
66.89,67.87,66.89,70.31,65.62,3.42,22.4,5.26,-7.36,1
67.38,68.85,67.38,70.56,63.03,3.17,14.4,0.83,-9.47,1
68.85,68.85,68.85,70.56,68.97,1.71,19.2,0.85,-9.85,1
67.14,67.14,67.14,68.85,67.38,1.71,12.8,-2.4,-11.99,1
66.89,66.16,66.89,72.02,67.9,5.13,38.4,15.62,2.93,1
65.67,68.12,65.67,75.2,70.65,9.52,56,25.2,12.04,1
67.38,68.12,67.38,75.44,70.39,8.06,30.4,26.92,15.21,1
55.91,64.21,55.91,67.14,60.65,11.23,33.6,12.56,-0.45,1
54.93,55.18,54.93,58.59,55.79,3.66,17.6,2.74,-8.57,1
68.36,63.96,64.94,76.17,71.43,11.23,44.8,32.35,17.55,1
60.55,59.57,60.55,72.75,67.15,12.21,40,26.13,12.82,1
66.16,66.65,66.16,77.15,71.41,10.99,41.6,33.56,21.1,1
69.34,65.43,65.43,78.13,71.8,12.7,30.4,39.9,26.8,1
58.35,51.51,54.2,77.15,69.03,22.95,51.2,35.63,22.9,1
69.34,58.35,41.75,107.42,72.65,65.67,41.6,47.21,33.38,1
57.37,60.55,57.37,72.27,66.14,14.89,40,34.67,19.83,1
62.74,57.13,35.64,79.83,70.42,44.19,52.8,45.97,30.36,1
58.35,52.98,54.2,63.23,58.29,9.03,28.8,17.56,7.3,1
63.23,86.91,50.54,86.91,64.93,36.38,54.4,32.48,20.24,1
65.67,52.25,54.2,76.9,69.07,22.71,40,36.05,22.75,1
60.79,102.29,57.13,102.29,63.51,45.17,32,31.8,20.99,1
62.99,84.96,49.8,94.24,65.09,44.43,59.2,35.66,22.02,1
67.14,50.05,52.25,76.66,68.05,24.41,52.8,42.21,26.39,1
65.92,65.43,65.92,69.09,65.37,3.17,33.6,10.83,-3.44,1
64.7,50.05,40.53,107.42,69.49,66.89,52.8,47.9,33.07,1
62.74,102.05,62.74,104.49,66.82,41.75,43.2,10.02,1.81,1
67.14,86.43,49.07,92.29,67.94,43.21,41.6,32.81,20.68,1
56.15,92.04,52.25,104.98,64.76,52.73,43.2,21.93,8.24,1
63.48,49.8,49.8,73.73,65.5,23.93,49.6,36,20.2,1
57.13,55.91,57.13,68.6,62.38,11.47,46.4,25.67,12.4,1
63.48,52.25,52.25,73.97,67.64,21.73,43.2,31.88,16.23,1
63.96,50.05,52.25,77.39,69.98,25.15,56,38.4,23.29,1
66.16,44.68,44.68,79.59,64.65,34.91,51.2,25.65,10.36,1
65.43,46.88,46.88,78.37,70.6,31.49,51.2,40.16,25.6,1
65.43,53.71,53.71,77.15,69.55,23.44,49.6,38,22.28,1
54.2,61.28,54.2,71.04,65.13,16.85,44.8,24.84,12.03,1
61.04,72.75,61.04,83.98,72.57,22.95,40,42.5,28.31,1
60.55,49.8,49.8,81.54,70.48,31.74,51.2,42.46,27.72,1
62.5,59.57,60.55,65.19,56.93,4.64,12.8,14.43,5.31,1
63.48,84.23,46.39,89.84,66.83,43.46,89.6,42.7,27.76,1
61.52,73.24,35.4,109.38,69.98,73.97,56,51.02,36.74,1
65.43,45.65,37.11,107.18,70.37,70.07,57.6,53.27,38.18,1
66.16,85.69,36.13,106.2,69.91,70.07,65.6,48.37,33.42,1
68.6,69.34,68.6,72.27,69.88,3.66,22.4,11.22,-0.2,1
69.82,84.96,68.85,104.49,76.38,35.64,59.2,25.84,10.4,1
71.78,83.01,69.34,95.7,76.42,26.37,56,25.64,11.18,1
71.04,72.02,71.04,78.37,73.89,7.32,33.6,17.87,2.82,1
70.31,70.56,70.31,76.66,73.28,6.35,25.6,13.07,0.09,1
70.31,69.09,69.34,75.2,72.1,5.86,25.6,15.83,3.47,1
67.87,68.12,67.87,71.29,69.16,3.42,20.8,9.77,-0.31,1
74.95,71.78,72.27,81.05,75.64,8.79,33.6,18.26,4.57,1
73.24,101.56,73.24,106.45,79.09,33.2,48,16.86,3.33,1
71.04,69.34,69.58,77.64,72.55,8.06,51.2,19.5,4.8,1
70.56,68.85,69.09,79.83,73.87,10.74,36.8,19.9,5.47,1
77.39,76.9,77.15,82.03,79.22,4.88,24,12.24,0.81,1
106.93,101.81,104.25,105.22,104.86,0.98,19.2,9.59,-1.56,1
69.58,69.09,69.09,76.9,73.06,7.81,36.8,18.45,3.17,1
66.65,101.56,66.65,104.49,86.73,37.84,25.6,6.71,-4.49,1
71.04,101.81,71.04,105.47,76.12,34.42,48,16.29,1.49,1
68.36,68.85,68.36,72.02,69.81,3.66,20.8,7.76,-3.58,1
69.58,68.12,68.12,72.27,69.66,4.15,24,10.78,-1,1
68.36,100.34,68.36,104.74,74.67,36.38,44.8,17.09,1.53,1
73.24,71.04,71.29,77.64,73.15,6.35,25.6,18.93,6.18,1
68.85,104.74,68.85,105.71,75.74,36.87,44.8,24.5,10.43,1
60.55,67.14,60.55,72.02,67.85,11.47,27.2,16.28,6.7,1
59.33,59.81,59.33,81.05,72.83,21.73,51.2,30.21,13.6,1
57.86,85.69,40.77,89.36,58.79,48.58,113.6,40.73,25.12,1
58.84,57.13,57.13,61.77,58.73,4.64,19.2,14.34,5.9,1
61.28,49.56,42.48,105.71,70.33,63.23,51.2,47.82,33.55,1
62.5,58.35,58.35,67.38,62.57,9.03,22.4,31.31,22.43,1
64.21,74.95,36.87,107.91,73.1,71.04,62.4,47.81,34.23,1
57.13,73.24,46.63,85.69,62.77,39.06,43.2,32.65,19.05,1
63.23,55.91,55.91,73.73,65.5,17.82,27.2,37.51,26.24,1
57.13,50.05,46.88,74.71,66.05,27.83,57.6,40.07,23.99,1
58.35,96.19,53.47,101.07,55.09,47.61,24,9.88,-1.88,1
63.72,81.54,37.84,85.21,71.55,47.36,60.8,46.41,29.95,1
52.49,93.02,52.49,97.41,58.28,44.92,46.4,29.83,15.27,1
66.41,80.57,35.64,83.01,70.37,47.36,59.2,42.68,26.18,1
52.25,88.13,49.8,95.95,61.9,46.14,44.8,31.45,17.85,1
60.55,58.35,58.35,65.19,61.15,6.84,20.8,19.39,12.28,1
62.5,46.88,46.88,80.08,71.43,33.2,60.8,42.9,27.29,1
52.25,94.73,52.25,102.05,63.36,49.8,51.2,39.2,24.93,1
61.28,55.91,55.91,76.9,68.03,21,33.6,40.85,26.67,1
60.79,48.34,48.34,77.15,68.09,28.81,54.4,40.53,25.16,1
66.16,59.33,59.33,71.53,65.81,12.21,24,33.49,24.05,1
54.93,41.5,42.48,73.73,61.89,31.25,81.6,46.29,28.63,1
62.01,46.88,41.26,77.39,66.16,36.13,65.6,46.66,30.3,1
62.99,44.68,42.48,73.24,64.11,30.76,46.4,39.48,24.72,1
90.09,89.84,89.84,95.21,91.12,5.37,24,13.99,1.74,1
67.87,66.65,67.63,70.07,62.88,2.44,22.4,3.23,-7.57,1
67.63,66.16,66.41,70.31,65.37,3.91,27.2,9.02,-2.92,1
64.7,63.72,63.72,69.58,66.54,5.86,44.8,14.01,-1.17,1
64.7,66.16,64.7,70.8,66.92,6.1,33.6,19.96,6.85,1
54.44,79.35,54.44,80.57,57.41,26.12,16,4.62,-6.16,1
68.12,71.78,68.12,75.93,71.14,7.81,30.4,14.71,2.32,1
73.24,73.24,73.24,75.93,73.97,2.69,16,12.15,3.28,1
68.12,104,62.74,104.98,77.1,42.24,33.6,17.98,5.35,1
71.78,59.57,60.55,77.64,70.71,17.09,48,35.68,20.88,1
84.72,79.1,79.35,86.18,81.67,6.84,17.6,13.94,3.33,1
108.64,101.07,104.25,107.91,99.84,3.66,25.6,21.71,10.21,1
70.07,81.79,60.79,92.29,73.98,31.49,64,34.64,18.91,1
68.85,81.54,61.28,92.29,75.45,31.01,60.8,38.89,23.58,1
68.6,82.76,63.96,102.05,74.54,38.09,59.2,36.92,20.64,1
67.63,81.79,59.08,96.44,74.06,37.35,54.4,33.45,18.45,1
86.43,91.06,86.43,95.7,85.27,9.28,16,19.94,11.9,1
68.6,82.76,64.21,95.7,74.38,31.49,51.2,34.45,19.17,1
40.53,83.5,40.53,104.49,75.72,63.96,52.8,34.67,19.02,1
66.89,86.43,63.96,91.55,71.3,27.59,48,32.56,17.68,1
67.87,85.69,63.23,104.49,76.25,41.26,52.8,32.13,15.89,1
65.19,98.39,64.45,104.49,76.91,40.04,41.6,24.09,10.23,1
67.14,84.96,65.67,97.41,72.63,31.74,49.6,30.85,16.79,1
69.34,86.18,66.16,86.18,72.84,20.02,41.6,31.23,15.81,1
65.92,98.39,65.92,108.4,70.16,42.48,40,21.04,6.9,1
71.53,88.13,66.16,91.31,73.54,25.15,54.4,26.94,13.76,1
69.09,60.3,61.04,77.88,71.45,16.85,49.6,25.96,12.16,1
90.82,81.54,82.28,94.48,85.16,12.21,27.2,15.89,2.61,1
68.36,67.63,68.12,74.71,69.55,6.59,22.4,17.41,5.92,1
85.69,79.59,79.83,87.4,82.29,7.57,32,14.48,4.01,1
72.51,91.06,68.12,97.41,82.48,29.3,137.6,23.25,5.86,1
92.04,85.94,87.16,95.95,85.01,8.79,19.2,11.36,0.5,1
69.82,70.56,69.82,73.24,66.02,3.42,16,7.37,-2.31,1
65.67,99.85,65.67,105.96,69.63,40.28,48,13.8,-1.02,1
67.14,66.16,66.41,69.09,60.69,2.69,17.6,2.77,-7.03,1
69.34,68.85,69.34,72.75,66.77,3.42,20.8,11.78,1.74,1
61.77,65.19,61.77,73.97,68.37,12.21,40,15.53,1.81,1
73.97,72.27,72.51,77.88,73.92,5.37,35.2,18.48,5.95,1
72.51,70.8,70.8,74.46,72.27,3.66,38.4,1.11,-7.13,1
73.73,72.75,73.24,76.9,72.31,3.66,27.2,10.17,-0.93,1
65.43,55.18,57.13,77.39,69.01,20.26,52.8,24.06,9.73,1
57.37,58.59,57.37,61.28,58.35,3.91,19.2,1.7,-9.92,1
67.63,54.2,55.42,76.9,68.69,21.48,40,21.41,6.87,1
65.92,50.05,51.03,75.68,67.78,24.66,56,21.04,5.04,1
95.46,95.7,95.46,101.81,96.52,6.35,19.2,4.02,-6.57,1
58.84,57.62,57.62,60.79,58.35,3.17,12.8,4.43,-3.32,1
60.55,79.1,51.27,81.79,68.2,30.52,62.4,24.62,9.52,1
92.53,92.53,92.53,95.21,93.02,2.69,19.2,-0.38,-11.7,1
60.06,85.94,50.05,89.6,62.17,39.55,118.4,27.13,10.78,1
60.3,59.57,59.57,64.7,61.34,5.13,17.6,13.54,4.73,1
60.55,48.1,49.56,75.68,65.83,26.12,60.8,19.74,4.86,1
84.23,82.52,81.3,84.47,82.19,3.17,30.4,0.7,-9.67,1
62.01,61.28,62.01,69.09,61.81,7.08,16,12.56,2.41,1
59.81,58.35,59.57,78.37,70.54,18.8,49.6,16.97,0.98,1
69.09,69.09,69.09,73.49,71.27,4.39,20.8,4.4,-6.96,1
60.79,62.99,60.79,75.44,66.29,14.65,36.8,6.34,-5.73,1
67.63,62.5,62.74,78.37,70.35,15.63,32,13.96,-1.3,1
59.81,63.96,59.81,69.58,62.58,9.77,28.8,5.07,-5.85,1
68.12,68.12,68.12,73.97,70.56,5.86,24,8.85,-4.15,1
60.55,59.81,60.55,70.31,65.16,9.77,35.2,12.02,-1.81,1
66.16,60.55,61.52,73.49,66.93,11.96,25.6,11.01,-1.44,1
75.2,70.8,71.29,77.39,70.34,6.1,43.2,2.4,-8.28,1
65.19,59.57,60.06,75.2,66.37,15.14,35.2,9.56,-2.54,1
68.12,60.3,61.52,78.86,70.2,17.33,40,12.83,0.09,1
75.68,74.95,75.44,78.37,72.48,2.93,19.2,1.92,-10.82,1
77.64,75.44,75.93,79.83,74.64,3.91,22.4,4.15,-7.55,1
82.03,81.05,81.05,85.21,82.45,4.15,19.2,5.21,-6.29,1
77.88,77.88,77.88,80.08,78.52,2.2,14.4,1.91,-8.64,1
81.05,78.86,78.86,85.45,81.34,6.59,36.8,6.64,-7.57,1
73.49,74.95,73.49,77.39,73.21,3.91,32,6.46,-7.3,1
71.29,68.85,69.34,75.2,71.25,5.86,43.2,11.89,-0.97,1
65.19,59.81,62.5,72.02,67.31,9.52,38.4,20.8,8.59,1
61.52,57.13,57.37,71.78,66.05,14.4,46.4,22.15,6.73,1
64.21,64.45,64.21,68.12,65.86,3.91,25.6,4.97,-9.82,1
65.19,64.45,64.7,67.38,65.44,2.69,16,0.29,-11.44,1
67.38,67.38,67.38,69.09,67.73,1.71,16,-0.24,-11.65,1
67.38,69.34,67.38,70.56,63.78,3.17,24,1.39,-10.07,1
70.31,69.58,70.07,71.29,70.2,1.22,17.6,-0.65,-10.14,1
67.14,66.65,66.89,69.34,67.34,2.44,20.8,1.4,-9.9,1
66.89,58.35,59.57,75.2,70.07,15.63,59.2,27.48,10.99,1
64.7,63.23,63.96,69.34,64.24,5.37,22.4,17.95,5.79,1
65.92,60.55,61.52,72.75,67.53,11.23,36.8,21.49,6.85,1
66.89,58.35,59.57,73.97,66.77,14.4,30.4,19,5.53,1
64.94,68.12,64.94,69.34,59.38,4.39,16,6.5,-2.57,1
69.09,68.85,69.09,74.46,69.8,5.37,25.6,20.6,9.09,1
65.19,70.31,65.19,73.49,69.65,8.3,38.4,16.52,1.97,1
67.63,58.35,59.57,74.22,68.15,14.65,27.2,25.24,12.56,1
68.85,58.35,59.57,78.37,71.22,18.8,49.6,29.16,17.25,1
67.63,65.19,65.67,73,67.28,7.32,19.2,13.66,2,1
64.21,60.55,61.52,77.64,71.53,16.11,54.4,32.47,17.32,1
63.48,59.81,59.81,73.49,66.21,13.67,22.4,37.55,25.42,1
62.26,57.13,57.13,82.28,71.8,25.15,60.8,40.03,23.72,1
61.77,59.57,60.55,72.27,65.21,11.72,24,27.22,15.26,1
62.5,72.75,62.5,76.17,71.26,13.67,56,25.47,12.15,1
62.74,60.55,60.55,71.78,65.83,11.23,24,28.13,17.31,1
61.52,59.81,59.57,83.74,71.22,24.17,54.4,37.25,21.66,1
59.57,58.35,58.35,67.87,61.33,9.52,17.6,31.88,23.43,1
62.26,55.91,57.13,80.08,71.49,22.95,68.8,35.95,19.66,1
63.72,58.11,42.48,75.44,64.14,32.96,25.6,43.37,33.97,1
61.77,73.97,36.13,104.98,66.1,68.85,60.8,52.34,35.78,1
62.5,52.25,40.04,105.47,68.22,65.43,35.2,45.93,32.93,1
58.35,75.44,58.35,104.49,70.31,46.14,54.4,37.13,23.7,1
65.92,49.8,41.5,79.83,69.58,38.33,30.4,44.86,30.89,1
57.62,71.78,40.53,81.05,67.31,40.53,59.2,47.41,32.16,1
61.52,49.56,36.62,105.47,70.21,68.85,40,46.26,32.95,1
56.88,54.2,35.16,75.44,66.85,40.28,54.4,42.43,28.19,1
62.01,46.88,39.55,80.08,68.33,40.53,44.8,44.62,31.78,1
60.06,45.65,45.65,73.49,65.84,27.83,57.6,38.51,23.22,1
58.35,44.68,44.68,77.39,67.97,32.71,57.6,42.17,27.41,1
58.11,45.41,45.41,75.93,67.21,30.52,60.8,42.26,26.07,1
65.19,65.19,65.19,68.36,66.42,3.17,36.8,8.9,-6.51,1
68.12,67.63,67.63,70.07,67.98,2.44,20.8,-0.4,-11.47,1
65.67,65.43,65.43,70.8,67.99,5.37,40,13.42,-0.86,1
67.63,67.38,67.38,69.09,67.6,1.71,14.4,0.22,-9.56,1
67.38,82.76,46.63,84.47,61.67,37.84,56,24.87,10.16,1
65.19,65.19,65.19,68.85,66.43,3.66,24,6.4,-7.15,1
58.35,61.52,58.35,73.73,66.35,15.38,76.8,39.4,21.48,1
64.94,54.2,55.91,69.09,63.21,13.18,36.8,29.55,15.55,1
57.37,60.06,57.37,64.7,59.85,7.32,32,12.67,-0.77,1
64.94,59.57,60.55,73.49,67.76,12.94,38.4,34.07,19.99,1
56.64,63.96,56.64,67.87,62.85,11.23,35.2,21.37,8.49,1
62.5,45.9,45.9,76.17,67.22,30.27,59.2,42.55,27.61,1
55.18,60.79,55.18,65.19,60.53,10.01,33.6,25.67,14.04,1
55.91,88.38,41.75,92.04,59.36,50.29,126.4,44.36,29.86,1
55.42,78.86,49.56,86.18,63.41,36.62,118.4,38.88,22,1
74.46,72.75,72.75,75.93,73.63,3.17,16,5.74,-3.95,1
57.37,54.2,55.66,62.01,54.8,6.35,14.4,18.32,8.81,1
57.62,78.86,37.6,88.38,70.75,50.78,129.6,44.9,27.96,1
58.84,49.32,49.32,71.04,63.15,21.73,49.6,36.39,22.23,1
50.78,75.93,46.63,84.47,63.91,37.84,67.2,39.14,23.92,1
55.66,54.2,54.2,66.16,59.77,11.96,20.8,31.33,21.12,1
58.35,77.15,35.64,87.16,67.01,51.51,84.8,44.84,28.45,1
77.15,74.95,74.95,80.57,77.23,5.62,22.4,20.5,10.02,1
55.91,88.87,34.91,91.55,71.41,56.64,137.6,35.08,21.89,1
54.69,81.54,45.17,86.67,64.99,41.5,164.8,35.65,20.33,1
60.55,83.5,50.78,85.69,67.52,34.91,54.4,34.33,21.95,1
86.67,83.98,50.05,90.09,79.9,40.04,105.6,24.03,6.38,1
59.08,55.66,55.66,65.43,59.9,9.77,20.8,26.14,14.6,1
58.35,85.94,43.7,88.13,72.85,44.43,139.2,29.65,12.68,1
60.79,55.91,57.13,70.8,63.96,13.67,28.8,30.81,16.73,1
57.86,56.64,56.64,72.27,65.89,15.63,52.8,28.83,13.99,1
80.81,87.65,80.81,91.8,84.09,10.99,35.2,9.96,-3.75,1
59.08,60.55,59.08,70.8,63.99,11.72,19.2,23,12.59,1
58.35,57.13,57.86,78.86,70.07,21,57.6,32.42,17.08,1
59.08,59.57,59.08,65.92,61.95,6.84,24,17.46,5.96,1
60.3,79.83,58.59,81.79,67.12,23.19,48,25.67,9.92,1
67.63,51.27,55.91,72.27,64.2,16.36,62.4,31.25,15.08,1
82.52,83.98,82.28,85.69,82.8,3.42,22.4,3.84,-9.18,1
89.11,83.74,84.23,91.8,86.53,7.57,35.2,8.88,-4.99,1
72.27,71.04,71.04,74.22,72.31,3.17,16,13.27,3.42,1
61.77,59.57,59.81,74.95,67.77,15.14,38.4,23.32,8.91,1
71.29,55.91,56.15,78.13,70.37,21.97,36.8,28.33,13.93,1
60.79,59.57,59.57,80.81,71.97,21.24,51.2,34.19,18.58,1
62.74,54.2,55.91,74.95,64.91,19.04,78.4,28.92,13.51,1
82.76,58.35,58.35,87.4,77.52,29.05,32,34.42,22.15,1
56.15,60.55,56.15,69.09,63.38,12.94,40,22.74,10.25,1
77.15,55.91,57.13,84.23,72.37,27.1,33.6,33.73,20.5,1
66.16,84.23,52.25,85.21,69.94,32.96,56,35.24,20.61,1
63.48,57.86,51.76,75.93,66.46,24.17,84.8,34.67,19.94,1
62.26,83.5,59.57,85.94,69.61,26.37,48,33.92,19.41,1
61.52,84.96,57.13,86.67,66.4,29.54,54.4,34.89,21.57,1
54.93,54.44,54.93,62.5,57.34,7.57,38.4,19.68,5.19,1
63.23,52.25,53.47,80.32,67.41,26.86,52.8,34.37,21.74,1
77.15,57.13,57.13,84.47,73.31,27.34,46.4,36.65,22.13,1
75.93,75.93,75.93,77.39,76.13,1.46,12.8,-0.01,-10.18,1
102.54,92.04,92.29,108.15,63.52,15.87,27.2,6.08,-6.17,1
75.68,76.66,75.68,77.88,68.2,2.2,14.4,1.26,-8.16,1
79.83,79.83,79.83,81.79,80.13,1.95,14.4,1.52,-7.57,1
77.39,75.93,75.93,78.86,76.87,2.93,19.2,2.07,-8.26,1
79.59,79.83,79.59,84.23,80.99,4.64,27.2,8.76,-4.98,1
77.39,73.73,73.73,80.81,77.64,7.08,25.6,8.22,-3.63,1
104.25,101.32,103.52,104.49,103.91,0.98,19.2,10.85,-0.51,1
73.49,71.78,72.27,76.9,72.45,4.64,30.4,7.91,-5.32,1
78.61,77.64,78.13,79.83,67.1,1.71,17.6,-2.95,-11.69,1
79.1,78.86,79.1,81.54,72.35,2.44,16,3.71,-5.22,1
72.02,101.81,72.02,105.96,75.79,33.94,51.2,11.52,-2.13,1
74.71,73.73,73.73,78.61,76.07,4.88,38.4,6.35,-6.68,1
72.51,61.77,62.26,75.44,69.66,13.18,54.4,8.17,-6.64,1
63.72,59.08,60.55,74.22,68.18,13.67,38.4,26.13,11.54,1
62.01,55.91,57.13,76.66,68.64,19.53,48,31.04,15.88,1
65.43,51.27,57.13,77.88,70.03,20.75,62.4,32.05,17.46,1
64.94,58.35,61.77,77.88,70.46,16.11,59.2,29.52,16.26,1
68.36,67.87,68.12,72.51,69.86,4.39,33.6,2.86,-9.96,1
68.12,101.81,68.12,104.74,75.04,36.62,44.8,9.83,-5.26,1
64.21,64.45,64.21,66.65,65.12,2.44,14.4,0.61,-9.42,1
69.09,67.38,67.38,70.8,68.9,3.42,22.4,5.73,-5.05,1
68.36,100.59,68.36,105.22,78.62,36.87,46.4,20,9.03,1
82.76,79.83,80.57,83.74,76.63,3.17,16,7.31,-1.54,1
81.54,75.44,75.93,84.23,74.77,8.3,24,6.2,-5.71,1
80.81,78.86,79.1,81.79,74.84,2.69,25.6,3.24,-5.35,1
82.03,79.35,79.83,83.74,76.16,3.91,14.4,4.03,-5.28,1
39.06,37.84,38.82,76.9,53.34,38.09,11.2,12.47,-1.69,0
53.96,50.78,52.73,56.64,35.16,3.91,12.8,-0.92,-9.72,1
77.64,81.54,77.64,84.23,77.92,6.59,20.8,18.76,8.38,1
77.64,75.93,76.17,78.37,66.09,2.2,12.8,0.54,-8.55,1
80.81,72.75,73.24,82.28,75.66,9.03,52.8,17.14,1.25,1
78.13,73.24,73.24,80.81,77.39,7.57,68.8,14.07,-1.39,1
83.74,73,73,86.18,79.35,13.18,41.6,25.19,12.39,1
77.15,73.49,73.73,79.83,74.63,6.1,27.2,14.24,1.45,1
84.47,79.1,79.1,81.79,72.84,2.69,32,5.98,-0.58,0
77.88,74.95,74.95,81.79,78.5,6.84,41.6,25.97,12.08,1
74.95,64.94,65.19,79.35,73.51,14.16,30.4,24.69,13.23,1
80.57,73.49,73.24,83.98,78.64,10.74,54.4,24.62,10.45,1
83.5,82.28,82.28,84.47,82.79,2.2,12.8,5.57,-1.51,1
77.64,72.02,72.02,80.81,76.55,8.79,54.4,22.94,7.98,1
81.05,72.27,72.75,82.52,76.1,9.77,60.8,14.87,-2.48,1
77.39,74.22,74.46,81.79,78.26,7.32,49.6,18.37,1.9,1
80.57,76.9,76.66,81.79,78.63,5.13,36.8,14.84,1.23,1
81.05,75.2,75.2,83.5,79.64,8.3,46.4,22.82,9.9,1
78.86,74.95,74.95,80.81,77.94,5.86,33.6,17.57,6.35,1
79.83,74.46,74.95,85.45,78.95,10.5,48,20.91,5.92,1
83.74,74.46,74.95,87.16,78.03,12.21,60.8,18.9,2.66,1
82.76,75.44,75.44,85.45,79.15,10.01,68.8,20.91,3.47,1
75.2,65.43,65.67,80.81,75.19,15.14,41.6,26.51,11.62,1
79.35,75.2,75.44,84.23,78.2,8.79,65.6,22.39,5.71,1
81.3,77.88,77.88,85.21,81.49,7.32,25.6,7.03,-1.3,1
78.13,51.76,52.98,83.5,75.33,30.52,59.2,19.28,4.6,1
84.72,84.96,84.47,85.94,67.72,1.46,20.8,-0.01,-5.51,0
76.66,74.95,75.2,78.37,69.09,3.17,14.4,8.66,2.72,0
75.93,65.43,65.92,81.05,75.57,15.14,41.6,26.72,13.35,1
79.59,75.44,75.93,82.52,78.1,6.59,32,22.05,8.17,1
75.93,64.94,65.19,80.57,75.06,15.38,44.8,26.92,13.28,1
78.13,74.46,74.46,81.3,77.46,6.84,46.4,23.56,8.62,1
75.44,64.94,65.43,81.05,75.19,15.63,44.8,29.69,15.66,1
76.66,73.97,73.97,81.05,77.17,7.08,52.8,29.05,12.3,1
78.86,75.93,75.93,83.01,79.34,7.08,36.8,31.48,17.83,1
74.71,72.75,73.24,77.64,73.61,4.39,27.2,17.28,4.38,1
81.05,79.83,80.57,83.5,75.85,2.93,16,5.05,-6.27,1
81.05,74.71,74.71,83.98,79.49,9.28,52.8,27.91,14.5,1
79.83,79.1,79.1,81.79,80.08,2.69,12.8,5.64,-2.25,1
77.15,74.46,74.95,79.59,75.83,4.64,36.8,12.38,-2.98,1
83.5,79.35,79.83,86.43,81.03,6.59,30.4,12.12,-1.05,1
77.39,74.95,74.95,79.83,77.17,4.88,38.4,13.79,-0.66,1
79.83,77.15,77.15,81.79,79.25,4.64,19.2,13.27,3.4,1
80.57,78.13,78.86,83.25,78.86,4.39,30.4,11.61,-1.89,1
82.28,75.93,76.42,83.01,78,6.59,35.2,8.55,-6.89,1
81.05,74.95,75.44,82.03,76.22,6.59,27.2,9.29,-4.73,1
77.15,76.42,76.66,79.1,77.34,2.44,36.8,2.96,-9.84,1
79.35,78.86,78.13,82.28,79.44,4.15,38.4,22.01,7.63,1
79.83,74.95,75.44,81.3,76.67,5.86,33.6,7.49,-6.93,1
84.96,74.22,74.46,86.91,79.97,12.45,73.6,10.29,-6.21,1
75.93,74.22,74.46,77.39,75.47,2.93,30.4,10.71,-2.68,1
80.57,77.64,78.13,81.3,70.5,3.17,12.8,-0.86,-10.59,1
85.45,86.43,85.45,88.13,68.9,2.69,11.2,-3.85,-11.45,1
77.88,75.2,75.44,79.35,76.49,3.91,19.2,3.24,-7.67,1
50.05,35.16,35.16,62.99,47.74,27.83,22.4,18.9,1.29,0
77.15,73,73.24,78.37,75.26,5.13,67.2,10.64,-6.09,1
79.1,76.42,76.66,81.79,78.43,5.13,17.6,19.37,10.85,1
77.88,62.5,63.23,81.79,76.02,18.55,70.4,30.83,16.23,1
48.1,34.67,34.67,70.07,50.94,35.4,22.4,20.73,4.35,1
81.3,79.35,79.83,83.25,75.4,3.42,17.6,5.46,-4.55,1
79.1,74.95,75.2,82.76,78.11,7.57,44.8,19.29,6.07,0
75.44,71.04,71.53,80.81,75.85,9.28,62.4,31.49,15.39,1
81.54,77.64,77.88,83.01,74.58,5.13,14.4,9.14,-0.84,1
77.15,61.52,62.01,80.81,75.28,18.8,105.6,27.96,11.08,1
34.67,81.05,34.67,84.23,48.58,49.56,27.2,15.51,-1.76,0
79.1,82.28,79.1,83.5,73.71,4.39,14.4,5.39,-1.75,0
78.13,73.24,73.24,81.3,76.68,8.06,84.8,28.14,9.9,1
46.39,78.86,46.39,84.72,76.85,38.33,38.4,16.72,0.62,1
79.59,72.75,73.24,83.74,78.61,10.5,51.2,29.87,15.13,1
41.5,79.35,34.91,83.74,64.79,48.83,33.6,15.01,0.12,0
76.42,74.46,74.46,79.1,76.4,4.64,48,20.6,6.09,1
82.76,35.89,82.76,86.18,77.71,3.42,20.8,9.72,0.47,1
