starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
78.86,75.93,76.66,82.28,77.37,5.62,27.2,11.29,-2.39,1
38.57,35.16,35.16,83.74,59.93,48.58,22.4,5.87,-16.08,0
66.16,63.72,64.94,74.71,68.55,9.77,22.4,12.6,1.4,1
53.47,47.85,47.61,56.64,49.56,9.03,24,-1.38,-11.35,0
75.2,73.24,73.97,77.39,69.5,3.42,14.4,-0.81,-9.74,1
70.07,65.19,66.89,72.27,66.95,5.37,16,8.33,-4.34,1
42.48,49.07,36.38,96.68,67.68,60.3,24,17.9,-2.81,0
64.21,61.52,61.77,66.89,60.64,5.13,27.2,3.61,-7.72,1
75.68,88.87,70.07,104.74,81.39,34.67,57.6,38.73,24.91,1
63.96,58.35,58.59,65.43,58.13,6.84,16,-2.16,-15.22,1
77.39,75.93,76.42,79.83,73.77,3.42,16,8.42,0.43,1
90.58,94.73,90.58,97.17,92.36,6.59,19.2,5.2,-6.44,1
77.64,74.95,74.95,79.59,76.95,4.64,25.6,6.02,-4.17,1
47.12,42.72,46.88,84.23,56.49,37.35,27.2,2.43,-9.66,0
65.19,62.74,63.23,75.68,70.27,12.45,27.2,12.83,1.09,1
76.17,63.96,64.7,83.5,76.14,18.8,43.2,33.76,17.82,1
62.5,60.55,61.28,64.94,57.35,3.66,19.2,4.51,-7.17,1
103.27,96.19,97.9,106.45,96.86,8.54,30.4,8.97,-3.83,1
34.91,43.7,34.91,78.37,51.28,43.46,19.2,12.75,-4.79,0
73,72.27,72.75,77.64,73.02,4.88,30.4,7.24,-6.7,1
73.49,105.47,71.29,107.42,76.55,36.13,36.8,14.64,0.82,1
94.48,88.87,89.84,98.14,87.41,8.3,19.2,2.47,-9.12,1
77.15,74.46,74.46,104.98,79.57,30.52,30.4,34.59,21.57,1
63.96,87.89,41.5,92.29,60.47,50.78,43.2,46.31,32.11,1
96.44,96.44,63.96,104.49,74.91,40.53,46.4,28.35,12.66,1
76.17,73.24,73.97,81.54,76.56,7.57,28.8,17.7,4.98,1
47.61,48.83,37.6,52.49,44.6,14.89,14.4,-4.91,-17.23,0
63.96,64.7,63.96,70.31,65.33,6.35,24,15.63,3.92,1
75.68,72.75,73.24,80.57,74.91,7.32,24,6.99,-5.88,1
73.97,73.97,73.97,76.9,74.67,2.93,22.4,13.56,1.12,1
44.19,60.55,37.35,75.93,62.98,38.57,40,11.65,-3.81,0
84.96,93.51,84.96,98.39,83.51,13.43,14.4,13.88,5.88,1
37.6,39.55,37.6,50.29,40.74,12.7,28.8,-0.18,-19.14,0
63.48,83.5,58.59,88.38,72.75,29.79,35.2,6.2,-3.5,1
41.26,58.59,36.87,97.9,67.06,61.04,316.8,27.88,3.05,0
74.22,69.34,73.24,75.68,59.25,2.44,25.6,-1.78,-11.68,0
105.96,104.49,104.25,106.45,105.53,2.2,22.4,13.89,2.85,1
64.21,96.92,63.96,109.13,80.62,45.17,28.8,7.53,-5.84,1
46.63,60.06,42.24,74.71,50.17,32.47,24,3.43,-13.23,0
73.24,72.27,72.75,75.2,66.14,2.44,12.8,4.07,-3.06,0
108.89,101.56,99.61,107.91,104.88,8.3,22.4,27.73,15.91,1
71.53,77.88,71.53,82.52,69.44,10.99,19.2,0.07,-9.28,0
57.13,81.54,57.13,85.94,60.43,28.81,40,13.48,-0.35,1
76.66,74.46,74.95,84.23,77.91,9.28,33.6,19.28,6.43,1
75.2,73.73,73.97,78.37,75.79,4.39,17.6,1.69,-9.79,1
76.9,75.44,75.93,80.81,75.69,4.88,22.4,5.8,-6.78,1
61.52,99.12,61.52,107.42,70.55,45.9,35.2,26.76,15.44,1
72.02,70.8,70.8,75.44,72.84,4.64,35.2,7.43,-4.21,1
96.68,88.87,96.68,103.27,64.45,6.59,20.8,-2.64,-11.71,1
75.44,68.6,68.85,79.1,74.18,10.25,32,26.63,13.34,1
82.28,75.93,75.93,86.43,80.81,10.5,28.8,23.63,10.27,1
72.02,70.31,70.31,79.35,73.96,9.03,33.6,20.92,5.72,1
50.05,54.69,46.63,90.09,60.28,43.46,33.6,-2.15,-18.69,0
77.39,74.22,74.22,79.59,76.99,5.37,19.2,-2.2,-14.92,1
68.12,65.92,66.41,72.51,68.32,6.1,33.6,18.06,5.22,1
78.13,74.46,74.95,80.57,73.68,5.62,17.6,5,-6.85,1
65.67,85.94,65.67,104,83.66,38.33,35.2,5.36,-7.07,1
42.72,39.31,41.5,61.52,46.55,20.02,22.4,-0.73,-13,1
66.65,82.76,51.27,90.09,74.51,38.82,46.4,33.47,20.41,1
75.93,70.56,71.04,79.83,75.37,8.79,43.2,13.05,-3.08,1
40.53,66.89,40.53,69.09,57.37,28.56,17.6,0.41,-6.85,1
64.21,100.59,58.35,106.45,74.56,48.1,48,16.78,4.32,1
82.28,81.54,81.54,83.98,82.03,2.44,16,-0.31,-10.66,1
77.64,105.47,72.27,107.18,77.34,34.91,35.2,11.88,-0.72,1
65.19,43.46,36.13,87.4,59.43,51.27,20.8,5.11,-10.95,0
64.94,87.16,60.55,105.47,78.81,44.92,33.6,18.94,6.64,1
60.79,58.84,58.35,60.79,52.68,2.44,19.2,-11.23,-23.05,0
98.63,100.34,98.63,106.93,98.63,8.3,14.4,-1.04,-9.85,1
90.33,88.38,88.38,95.21,90.82,6.84,17.6,2.2,-9.04,1
63.48,64.45,63.48,67.38,65.27,3.91,12.8,-0.13,-10.87,1
72.27,72.75,72.27,74.46,72.6,2.2,17.6,3.06,-8.61,1
80.32,79.83,41.26,99.61,74.16,58.35,14.4,14.94,-5.21,0
66.41,95.46,66.41,99.61,68.81,33.2,30.4,7.7,-6.36,1
74.46,71.04,71.53,79.35,74.3,7.81,43.2,26.38,13.56,1
78.13,74.71,74.71,82.28,75.91,7.57,30.4,10.38,-0.44,1
85.94,83.98,83.98,88.87,83.84,4.88,40,11.33,-0.99,1
107.67,105.96,106.45,106.45,106.45,0,17.6,11.62,1.41,1
66.16,93.51,54.2,106.93,67.7,52.73,49.6,32.8,18.37,1
88.87,97.9,88.87,108.89,97.3,20.02,30.4,13.68,0.6,1
88.87,87.16,87.16,92.29,89.07,5.13,27.2,9.82,-1.99,1
102.78,98.88,101.07,109.62,104.39,8.54,20.8,7.88,-4.11,1
58.59,64.7,37.35,76.42,62,39.06,52.8,12.89,-4.4,1
48.34,51.76,39.31,86.43,64.09,47.12,75.2,14.56,-9.96,0
41.75,40.04,40.04,52.25,41.36,12.21,204.8,9.05,-8.56,0
98.39,95.46,96.44,104.49,99.04,8.06,20.8,4.92,-7.2,1
85.21,93.75,85.21,99.85,89.68,14.65,67.2,10.52,-2.73,1
80.57,76.42,76.42,82.28,78.68,5.86,22.4,6.06,-4.62,1
69.09,57.62,63.48,75.68,68,12.21,32,15.41,3.3,1
74.95,74.95,74.95,76.9,75.36,1.95,11.2,0.3,-8.11,1
39.55,39.06,39.55,61.77,50.5,22.22,48,2.46,-16.62,0
86.18,84.23,84.72,87.4,76.76,2.69,11.2,-5.37,-15.91,1
80.08,81.05,80.08,86.43,80.87,6.35,24,15.47,2.95,1
39.06,37.84,39.06,58.59,47.01,19.53,20.8,19.92,4.07,0
41.99,62.5,41.99,63.48,40.09,21.48,51.2,1.61,-14.38,0
34.67,38.09,34.67,53.22,40.43,18.55,118.4,15.79,-3.49,0
75.2,73.24,73.97,81.3,76.43,7.32,30.4,12.21,-1.28,1
61.52,63.23,61.52,66.16,63.29,4.64,19.2,-0.94,-14.84,1
36.62,56.4,36.62,85.69,58.08,49.07,32,10.76,-6.29,1
34.91,35.16,34.91,94.97,65.27,60.06,129.6,26.89,5.74,0
78.37,77.64,78.13,83.5,77.96,5.37,22.4,12.61,0.65,1
42.48,41.99,38.57,84.47,62.02,45.9,27.2,14.82,-2.33,0
73.24,72.51,72.51,74.46,73,1.95,9.6,-3.55,-10.6,1
89.84,88.13,88.13,93.75,89.61,5.62,22.4,4.52,-7.72,1
66.16,64.7,64.7,68.36,66.31,3.66,27.2,7.54,-6.15,1
91.06,84.72,84.72,95.46,88.61,10.74,17.6,7.97,-2.87,1
38.33,45.41,38.33,66.41,50.32,28.08,49.6,0.08,-15.8,0
57.86,36.87,34.67,81.3,46.95,46.63,91.2,6.66,-15.88,0
44.43,36.87,40.53,64.45,45.3,23.93,265.6,17.91,-2.65,0
75.93,74.46,74.95,81.05,76.01,6.1,27.2,12.59,-0.6,1
97.9,98.14,97.9,108.64,100.56,10.74,25.6,6.71,-6.58,1
72.02,71.78,72.02,75.93,71.33,3.91,32,7.76,-4.68,1
58.35,43.21,43.21,89.11,55.92,45.9,14.4,7.35,-8.15,0
44.43,61.77,42.24,77.15,61.66,34.91,41.6,18.16,6,1
38.09,57.13,38.09,66.41,56.9,28.32,43.2,-1.92,-18.37,0
39.55,52.25,39.55,88.13,63.62,48.58,76.8,20.56,0.28,0
84.72,83.25,83.98,86.43,72.27,2.44,11.2,-8.71,-18.34,1
65.43,79.59,36.38,88.87,53.66,52.49,22.4,1.86,-9.73,0
70.07,70.56,67.38,73,70.15,5.62,22.4,22.37,11.85,1
68.36,47.12,48.58,70.07,55.18,21.48,16,-9.7,-20.81,0
42.48,53.47,39.31,63.72,52.98,24.41,16,6.46,-9.89,1
74.22,75.93,74.22,84.23,78.63,10.01,36.8,29.27,14.72,1
65.43,60.79,61.04,66.89,60.31,5.86,20.8,3.89,-7.06,1
85.94,87.89,85.94,90.33,82.76,4.39,16,1.72,-8.54,1
106.45,93.75,94.24,106.45,101.4,12.21,33.6,-0.82,-13.14,1
72.27,54.44,72.02,73.24,48.01,1.22,17.6,3.14,-5.19,0
47.12,53.96,47.12,76.9,60.72,29.79,32,5.1,-12.64,0
54.2,52.25,52.25,76.17,67.15,23.93,46.4,27.62,13.35,1
65.43,86.43,54.69,95.21,76,40.53,27.2,3.47,-13.51,0
42.24,36.87,36.87,93.99,69.41,57.13,60.8,16.91,-1.28,0
83.98,86.43,83.98,94.97,88.7,10.99,25.6,7.65,-6.15,1
42.24,100.1,42.24,105.96,95.34,63.72,25.6,32.08,19.89,1
66.89,65.19,65.43,68.85,66.41,3.42,20.8,3.46,-8.19,1
84.47,75.44,75.93,86.43,72.41,10.5,36.8,0.96,-10.7,1
37.35,48.34,37.35,90.82,65.33,53.47,30.4,3.42,-14.93,0
44.19,38.33,38.33,70.31,53.17,31.98,64,-1.11,-16.97,0
82.76,82.52,81.3,90.09,79.49,8.79,25.6,4.43,-6.65,1
90.82,87.4,87.89,93.51,89.17,5.62,11.2,-5.17,-14.47,1
86.43,84.72,84.96,88.38,85.92,3.42,17.6,0.13,-11.67,1
56.4,57.62,42.72,74.71,55.48,31.98,76.8,19.02,3.59,1
50.78,57.13,39.31,97.9,63.34,58.59,40,9.47,-12.22,0
61.77,62.26,61.77,66.16,58.79,4.39,16,8.97,0.86,1
78.37,95.21,72.75,106.93,80.48,34.18,54.4,18.98,4.77,1
103.27,99.85,101.07,104.49,102.69,3.42,17.6,11.13,1.78,1
72.75,72.02,71.78,74.95,72.58,3.17,22.4,7.8,-1.61,1
40.53,37.11,37.35,57.37,43.91,20.02,27.2,3.57,-8.44,0
66.41,63.48,63.48,68.36,65.43,4.88,20.8,-5.43,-14.45,1
44.68,43.7,40.53,54.44,45.62,13.92,48,1.96,-15.51,0
71.29,65.19,36.62,109.62,75.27,73,38.4,19.22,1.7,0
37.6,37.35,37.35,49.32,28.02,11.96,100.8,2.33,-10.62,0
63.96,48.34,49.56,65.19,56.06,15.63,33.6,3.5,-9.82,1
